128,128,128,0.019472,0.250000,0.000001,0.215404
256,256,256,0.025115,0.875000,0.000001,1.336024
500,500,500,0.040019,2.125000,0.000002,6.247056
512,512,512,0.040649,2.125000,0.000002,6.603680
1000,1000,1000,0.099013,6.250000,0.000002,20.199448
1024,1024,1024,0.117258,6.500000,0.000003,18.314129
2048,2048,2048,0.588995,20.000000,0.000004,29.168091
3000,3000,3000,1.902177,32.000000,0.000004,28.388523
4096,4096,4096,4.665760,63.000000,0.000006,29.456924
5000,5000,5000,8.374271,79.000000,0.000006,29.853344
8192,8192,8192,34.216764,176.000000,0.000009,32.133713
10000,10000,10000,61.146364,230.000000,0.000009,32.708405
256,32,256,0.019744,0.023438,0.000000,0.212438
500,32,500,0.046299,0.023438,0.000000,0.345577
512,32,512,0.025708,0.031250,0.000000,0.652604
1000,32,1000,0.043239,0.023438,0.000000,1.480144
1024,32,1024,0.047314,0.031250,0.000000,1.418360
2048,32,2048,0.097564,0.031250,0.000000,2.751368
3000,32,3000,0.203212,0.031250,0.000000,2.834483
4096,32,4096,0.288429,0.031250,0.000000,3.722722
5000,32,5000,0.390728,0.031250,0.000000,4.094923
8192,32,8192,0.775978,0.031250,0.000000,5.534906
10000,32,10000,1.136011,0.031250,0.000000,5.633749
256,64,256,0.020955,0.093750,0.000001,0.400310
500,64,500,0.026374,0.109375,0.000001,1.213314
512,64,512,0.025599,0.125000,0.000001,1.310778
1000,64,1000,0.046966,0.109375,0.000001,2.725373
1024,64,1024,0.082455,0.125000,0.000001,1.627778
2048,64,2048,0.106664,0.125000,0.000001,5.033275
3000,64,3000,0.190907,0.140625,0.000001,6.034342
4096,64,4096,0.399661,0.125000,0.000001,5.373266
5000,64,5000,0.422450,0.140625,0.000001,7.574863
8192,64,8192,0.765553,0.140625,0.000001,11.220557
10000,64,10000,1.139008,0.140625,0.000001,11.237848
256,128,256,0.021426,0.281250,0.000001,0.783041
500,128,500,0.032073,0.281250,0.000001,1.995419
512,128,512,0.025375,0.312500,0.000001,2.644713
1000,128,1000,0.049874,0.312500,0.000001,5.132921
1024,128,1024,0.065038,0.343750,0.000001,4.127350
2048,128,2048,0.122563,0.312500,0.000001,8.760706
3000,128,3000,0.193990,0.343750,0.000001,11.876884
4096,128,4096,0.317009,0.375000,0.000001,13.548412
5000,128,5000,0.445300,0.343750,0.000001,14.372348
8192,128,8192,0.814129,0.375000,0.000001,21.102158
10000,128,10000,1.195196,0.375000,0.000001,21.419079
256,156,256,0.021133,0.343750,0.000001,0.967533
500,156,500,0.027452,0.375000,0.000001,2.841326
512,156,512,0.028255,0.375000,0.000001,2.894635
1000,156,1000,0.057581,0.406250,0.000001,5.418434
1024,128,1024,0.050304,0.343750,0.000001,5.336258
2048,156,2048,0.121489,0.437500,0.000001,10.771518
3000,128,3000,0.211430,0.343750,0.000001,10.897237
4096,156,4096,0.350132,0.437500,0.000001,14.950062
5000,156,5000,0.497355,0.468750,0.000001,15.682963
8192,156,8192,0.900025,0.468750,0.000001,23.263767
10000,156,10000,1.430959,0.468750,0.000001,21.803566
