100,100,100,0.011297,0.187500,0.000001,0.177040
128,128,128,0.031005,0.312500,0.000001,0.135276
256,256,256,0.023526,0.875000,0.000001,1.426250
500,500,500,0.067660,2.375000,0.000002,3.694926
512,512,512,0.075289,2.625000,0.000002,3.565404
1000,1000,1000,0.285974,7.750000,0.000003,6.993638
1024,1024,1024,0.325372,7.750000,0.000003,6.600096
2048,2048,2048,1.762833,23.500000,0.000005,9.745601
3000,3000,3000,4.773604,38.500000,0.000005,11.312208
4096,4096,4096,10.683884,68.000000,0.000007,12.864138
5000,5000,5000,18.787602,97.000000,0.000008,13.306647
8192,8192,8192,71.012614,202.000000,0.000010,15.483329
10000,10000,10000,123.977386,260.000000,0.000010,16.131973
256,32,256,0.014582,0.039062,0.000001,0.287628
500,32,500,0.012586,0.046875,0.000001,1.271246
512,32,512,0.017147,0.046875,0.000001,0.978410
1000,32,1000,0.035822,0.054688,0.000001,1.786627
1024,32,1024,0.031238,0.046875,0.000001,2.148299
2048,32,2048,0.080375,0.054688,0.000001,3.339803
3000,32,3000,0.128220,0.062500,0.000001,4.492284
4096,32,4096,0.208219,0.062500,0.000001,5.156796
5000,32,5000,0.326699,0.062500,0.000001,4.897480
8192,32,8192,0.717635,0.054688,0.000001,5.984890
10000,32,10000,1.066143,0.062500,0.000001,6.002947
256,64,256,0.014941,0.109375,0.000001,0.561442
500,64,500,0.025787,0.125000,0.000001,1.240943
512,64,512,0.021103,0.109375,0.000001,1.590067
1000,64,1000,0.033695,0.125000,0.000001,3.798834
1024,64,1024,0.038820,0.125000,0.000001,3.457417
2048,64,2048,0.097513,0.140625,0.000001,5.505631
3000,64,3000,0.153224,0.156250,0.000001,7.518416
4096,64,4096,0.250412,0.156250,0.000001,8.575802
5000,64,5000,0.382851,0.156250,0.000001,8.358346
8192,64,8192,0.906747,0.156250,0.000001,9.473352
10000,64,10000,1.347426,0.156250,0.000001,9.499594
256,128,256,0.020996,0.281250,0.000001,0.799074
500,128,500,0.034325,0.343750,0.000001,1.864527
512,128,512,0.027164,0.343750,0.000001,2.470479
1000,128,1000,0.418145,0.406250,0.000001,0.612228
1024,128,1024,0.053626,0.406250,0.000001,5.005723
2048,128,2048,0.158095,0.375000,0.000001,6.791749
3000,128,3000,0.225097,0.375000,0.000001,10.235586
4096,128,4096,0.362033,0.468750,0.000001,11.863460
5000,128,5000,0.535292,0.406250,0.000001,11.956083
8192,128,8192,1.313844,0.437500,0.000001,13.076035
10000,128,10000,1.888540,0.406250,0.000001,13.555446
256,156,256,0.025158,0.437500,0.000001,0.812754
500,156,500,0.028786,0.437500,0.000001,2.709682
512,156,512,0.036705,0.406250,0.000001,2.228274
1000,156,1000,0.061173,0.468750,0.000001,5.100299
1024,128,1024,0.072208,0.406250,0.000001,3.717556
2048,156,2048,0.156224,0.437500,0.000001,8.376578
3000,128,3000,0.242272,0.375000,0.000001,9.509965
4096,156,4096,0.419382,0.468750,0.000001,12.481448
5000,156,5000,0.619273,0.500000,0.000001,12.595406
8192,156,8192,1.472494,0.531250,0.000001,14.219388
10000,156,10000,2.147102,0.531250,0.000001,14.531218
