100,100,100,0.018164,0.218750,0.000001,0.110111
128,128,128,0.025652,0.281250,0.000001,0.163507
256,256,256,0.026586,0.937500,0.000001,1.262106
500,500,500,0.056491,2.375000,0.000002,4.425519
512,512,512,0.055634,2.625000,0.000002,4.825017
1000,1000,1000,0.205482,7.500000,0.000003,9.733230
1024,1024,1024,0.219794,7.750000,0.000003,9.770437
2048,2048,2048,1.253743,22.500000,0.000004,13.702862
3000,3000,3000,3.305748,39.000000,0.000005,16.335182
4096,4096,4096,7.496197,68.000000,0.000007,18.334490
5000,5000,5000,12.878473,95.000000,0.000008,19.412239
8192,8192,8192,49.415287,198.000000,0.000010,22.250435
10000,10000,10000,85.979577,262.000000,0.000010,23.261337
256,32,256,0.013441,0.046875,0.000000,0.312059
500,32,500,0.020288,0.046875,0.000001,0.788631
512,32,512,0.019863,0.046875,0.000001,0.844655
1000,32,1000,0.033307,0.046875,0.000001,1.921508
1024,32,1024,0.028699,0.046875,0.000001,2.338332
2048,32,2048,0.072457,0.054688,0.000001,3.704778
3000,32,3000,0.125067,0.062500,0.000001,4.605533
4096,32,4096,0.206606,0.054688,0.000001,5.197040
5000,32,5000,0.295744,0.054688,0.000001,5.410079
8192,32,8192,0.647187,0.062500,0.000001,6.636363
10000,32,10000,0.926963,0.062500,0.000001,6.904270
256,64,256,0.016673,0.109375,0.000001,0.503123
500,64,500,0.027110,0.140625,0.000001,1.180358
512,64,512,0.020914,0.109375,0.000001,1.604365
1000,64,1000,0.045948,0.125000,0.000001,2.785761
1024,64,1024,0.046275,0.125000,0.000001,2.900419
2048,64,2048,0.104782,0.140625,0.000001,5.123683
3000,64,3000,0.161111,0.140625,0.000001,7.150333
4096,64,4096,0.224351,0.156250,0.000001,9.572000
5000,64,5000,0.324389,0.156250,0.000001,9.864714
8192,64,8192,0.751327,0.156250,0.000001,11.433015
10000,64,10000,1.107466,0.171875,0.000001,11.557915
256,128,256,0.019944,0.312500,0.000001,0.841231
500,128,500,0.023120,0.312500,0.000001,2.768157
512,128,512,0.021475,0.343750,0.000001,3.125010
1000,128,1000,0.050671,0.375000,0.000001,5.052179
1024,128,1024,0.050825,0.406250,0.000001,5.281590
2048,128,2048,0.141005,0.375000,0.000001,7.614917
3000,128,3000,0.196739,0.375000,0.000001,11.710920
4096,128,4096,0.308061,0.437500,0.000001,13.941950
5000,128,5000,0.429096,0.406250,0.000001,14.915078
8192,128,8192,1.029341,0.437500,0.000001,16.690161
10000,128,10000,1.463419,0.406250,0.000001,17.493277
256,156,256,0.020366,0.437500,0.000001,1.003974
500,156,500,0.037704,0.406250,0.000001,2.068758
512,156,512,0.032471,0.406250,0.000001,2.518856
1000,156,1000,0.057136,0.468750,0.000001,5.460628
1024,128,1024,0.049656,0.406250,0.000001,5.405928
2048,156,2048,0.122533,0.468750,0.000001,10.679726
3000,128,3000,0.210709,0.375000,0.000001,10.934525
4096,156,4096,0.352777,0.500000,0.000001,14.837969
5000,156,5000,0.500993,0.500000,0.000001,15.569087
8192,156,8192,1.162908,0.500000,0.000001,18.004835
10000,156,10000,1.630215,0.562500,0.000001,19.138580
